S	oma's fiets staat buiten.
S	Zij zei ''quotes'' tegen mij.
T	Zij	zij:VNW:PER:3EP:EKV:ACT|zij:VNW:PER:3EP:MRV:ACT|zij:ZNW:EKV:DE_
T	 	null:null
T	zei	zeggen:WKW:VLT:1EP
T	 	null:null
T	'	null:null
T	'quotes'	null:null
T	'	null:null
T	 	null:null
T	tegen	tegen:VRZ|tegen:ZNW:EKV:HET
T	 	null:null
T	mij	ik:VNW:PER:1EP:EKV:PSF
T	.	.:ITP:PNT
S	Het Nederlands-Engels woordenboek.
T	Het	het:VNW:OND:MRV:HET|het:VNW:AWZ:EKV:HET|het:VNW:OND:EKV:HET
T	 	null:null
T	Nederlands-Engels	Nederlands-Engels:BNW:STL:VRB
T	 	null:null
T	woordenboek	woordenboek:ZNW:EKV:HET
T	.	.:ITP:PNT
S	arbeidsongeschiktheidsverzekering
T	arbeidsongeschiktheidsverzekering	arbeidsongeschiktheidsverzekering:ZNW:EKV:DE_
S	De hondenbelasting is afgeschaft.
T	De	de:VNW:AWZ:EKV:DE_|de:VNW:AWZ:MRV:DE_
T	 	null:null
T	hondenbelasting	hondenbelasting:ZNW:EKV:DE_
T	 	null:null
T	is	is:ZNW:EKV:DE_|zijn:WKW:TGW:3EP
T	 	null:null
T	afgeschaft	afschaffen:WKW:VTD:ONV
T	.	.:ITP:PNT
S	quasi nauwkeurig en quasi irritant.
T	quasi	quasi:BYW
T	 	null:null
T	nauwkeurig	nauwkeurig:BNW:STL:ONV
T	 	null:null
T	en	en:VGW
T	 	null:null
T	quasi	quasi:BYW
T	 	null:null
T	irritant	irritant:BNW:STL:ONV
T	.	.:ITP:PNT
